frame,prep time,face detect time,custom landmark time,landmark 68 time,,,,,
104,0.003995,0.00602,0.0048589,0.0060849,,,,,
105,0.0063564,0.0088776,0.0122912,0.0031337,,,,,
106,0.0033984,0.0125835,0.0087183,0.0080486,,,,,
107,0.009728,0.0071743,0.0075236,0.0074282,,,,,
108,0.0037754,0.0079339,0.0076528,0.0084431,,,,,
109,0.0031471,0.0079486,0.0094435,0.0130716,,,,,
110,0.0048784,0.0107888,0.008743,0.0102611,,,,,
111,0.005929,0.0061446,0.0082692,0.0084916,,,,,
112,0.0059047,0.013269,0.0089095,0.0082643,,,,,
113,0.0036862,0.0153973,0.0068682,0.0079321,,,,,
114,0.0061438,0.0115305,0.0068356,0.0051139,,,,,
115,0.0037928,0.0084398,0.0122805,0.0076281,,,,,
116,0.0067509,0.0075177,0.0072995,0.0052843,,,,,
117,0.00744,0.0078553,0.0091264,0.0114223,,,,,
118,0.0057837,0.0085594,0.0078075,0.0071235,,,,,
119,0.0063511,0.0092701,0.0075105,0.0070571,,,,,
120,0.0052042,0.0041559,0.0063939,0.0083462,,,,,
121,0.0057893,0.00903,0.0087951,0.00751,,,,,
122,0.0030388,0.0144847,0.006914,0.0027873,,,,,
123,0.0026295,0.0138516,0.0079405,0.0064418,,,,,
124,0.0039909,0.0080576,0.0063153,0.0077892,,,,,
125,0.0046525,0.008672,0.0079568,0.0074882,,,,,
126,0.0053053,0.0051846,0.0072914,0.0029063,,,,,
127,0.0042198,0.008597,0.0076191,0.0071692,,,,,
128,0.0063916,0.0079574,0.0121995,0.0035994,,,,,
129,0.0062632,0.0074967,0.0091226,0.0036168,,,,,
130,0.0046596,0.0044419,0.0087108,0.0038831,,,,,
131,0.0024987,0.010541,0.0099103,0.0079965,,,,,
132,0.006165,0.0181116,0.0086455,0.0091297,,,,,
133,0.0056143,0.0165932,0.0073532,0.0068082,,,,,
134,0.0057416,0.0115626,0.0036227,0.0075184,,,,,
135,0.0034931,0.0088691,0.0097118,0.0105903,,,,,
136,0.0047673,0.0067247,0.0087052,0.0083466,,,,,
137,0.0034515,0.0106585,0.0107745,0.0093793,,,,,
138,0.003354,0.0072576,0.008992,0.0078108,,,,,
139,0.0039428,0.007062,0.0086289,0.0084461,,,,,
140,0.0063043,0.0078629,0.0070071,0.0063781,,,,,
141,0.002715,0.0053664,0.0039929,0.006213,,,,,
142,0.0029297,0.0066003,0.0078135,0.0068016,,,,,
143,0.0052869,0.0052727,0.0040263,0.0070081,,,,,
144,0.0027693,0.0060463,0.0077682,0.0045286,,,,,
145,0.0056889,0.006966,0.0073641,0.0077611,,,,,
146,0.0029501,0.007658,0.0080918,0.0077087,,,,,
147,0.0028482,0.0087372,0.0076682,0.0072144,,,,,
148,0.0027376,0.0075947,0.0088704,0.0071651,,,,,
149,0.0037449,0.0091834,0.0094546,0.0045467,,,,,
150,0.0028122,0.0088212,0.0080514,0.0058199,,,,,
151,0.0030602,0.0083657,0.0077918,0.0058929,,,,,
152,0.0029183,0.0085439,0.0098594,0.0030538,,,,,
153,0.0028703,0.0061625,0.0083036,0.0064609,,,,,
154,0.0033048,0.0069272,0.0070801,0.0065155,,,,,
155,0.0053888,0.0053048,0.0041273,0.0073016,,,,,
156,0.0029109,0.0118287,0.0037548,0.0069091,,,,,
157,0.0030024,0.0109325,0.0069712,0.0037646,,,,,
158,0.0029589,0.0080998,0.0080194,0.0067239,,,,,
159,0.0029718,0.0060171,0.0082377,0.0060122,,,,,
160,0.0028447,0.0110826,0.0037335,0.005641,,,,,
161,0.0036717,0.0108492,0.0039694,0.0074059,,,,,
162,0.0067363,0.009378,0.0090732,0.0036059,,,,,
